Study ID,first author,study design,publication date,primary series vaccine,booster vaccine,historyofCOVID ,reference group,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up
25,Tartof,Test-negative case-control,22Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,hospitalization,severe,USA,hospital admissions,general pop,87.0,81.0,92.0,delta,delta,~23 weeks
25,Tartof,Test-negative case-control,22Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14 to <3 m,hospitalization,severe,USA,hospital admissions,general pop,89.0,83.0,93.0,delta,delta,~23 weeks
25,Tartof,Test-negative case-control,22Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,3+ m,hospitalization,severe,USA,hospital admissions,general pop,71.0,40.0,86.0,delta,delta,~23 weeks
27,Abu-Raddad,Matched retrospective cohort,12May2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination ≥6-8 months prior,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,49.4,47.1,51.6,omicron,omicron,~10 weeks
27,Abu-Raddad,Matched retrospective cohort,12May2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination ≥6-8 months prior,14+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,49.9,47.6,52.2,omicron,omicron,~10 weeks
27,Abu-Raddad,Matched retrospective cohort,12May2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination ≥6-8 months prior,7+,"severe, critical, or fatal disease",severe,Qatar,18+ years,general pop,76.5,55.9,87.5,omicron,omicron,~10 weeks
27,Abu-Raddad,Matched retrospective cohort,12May2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination ≤8 months prior,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,38.0,28.8,46.0,omicron,omicron,~10 weeks
27,Abu-Raddad,Matched retrospective cohort,12May2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination >8 months prior,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,50.5,48.2,52.8,omicron,omicron,~10 weeks
27,Abu-Raddad,Matched retrospective cohort,12May2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥6-8 months prior,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,86.1,67.3,94.1,delta,delta,~10 weeks
28,Spensley,Prospective cohort,26Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,infection,infection,UK,end stage kidney disease patients,end stage kidney disease patients,66.0,36.0,81.0,omicron,omicron,~15 weeks
31,Willet,Test-negative case-control,26Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,infection,infection,Scotland,18+ years,general pop,43.2,38.1,47.8,omicron,omicron,~11 weeks
31,Willet,Test-negative case-control,26Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,infection,infection,Scotland,18+ years,general pop,85.9,84.2,87.4,delta,delta,~11 weeks
32,Lytras,Retrospective cohort,14Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,intubation,severe,Greece,15-79 years,15-79 years,98.2,97.2,98.9,,"non-VOC, alpha, & delta",~12 weeks
32,Lytras,Retrospective cohort,14Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,intubation,severe,Greece,80+ years,≥ 80 years,97.5,95.5,98.6,,"non-VOC, alpha, & delta",~12 weeks
32,Lytras,Retrospective cohort,14Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,death,death,Greece,15-79 years,15-79 years,98.3,96.9,99.1,,"non-VOC, alpha, & delta",~12 weeks
32,Lytras,Retrospective cohort,14Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,death,death,Greece,80+ years,≥ 80 years,98.4,97.4,99.0,,"non-VOC, alpha, & delta",~12 weeks
34,Bar-On,Prospective cohort,01Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 3 doses ≥4 months prior,12+,infection,infection,Israel,60+ years,≥ 60 years,50.0,50.0,53.0,,omicron,2 weeks
34,Bar-On,Prospective cohort,01Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 3 doses ≥4 months prior,12+,severe disease,severe,Israel,60+ years,≥ 60 years,77.0,59.0,87.0,,omicron,2 weeks
37,Chemaitelly,Test-negative case-control,13Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,<1 month,symptomatic disease,symptomatic,Qatar,18+ years,general pop,59.9,51.2,67.0,omicron BA.1,omicron BA.1,~19 weeks
37,Chemaitelly,Test-negative case-control,13Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,≥1 month,symptomatic disease,symptomatic,Qatar,18+ years,general pop,40.5,30.8,48.8,omicron BA.1,omicron BA.1,~19 weeks
37,Chemaitelly,Test-negative case-control,13Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,<1 month,symptomatic disease,symptomatic,Qatar,18+ years,general pop,43.7,36.5,50.0,omicron BA.2,omicron BA.2,~19 weeks
37,Chemaitelly,Test-negative case-control,13Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,≥1 month,symptomatic disease,symptomatic,Qatar,18+ years,general pop,40.2,34.2,45.7,omicron BA.2,omicron BA.2,~19 weeks
37,Chemaitelly,Test-negative case-control,13Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,<1 month,symptomatic disease,symptomatic,Qatar,18+ years,general pop,49.5,44.3,54.1,omicron,omicron,~19 weeks
37,Chemaitelly,Test-negative case-control,13Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,≥1 month,symptomatic disease,symptomatic,Qatar,18+ years,general pop,39.4,34.4,44.0,omicron,omicron,~19 weeks
37,Chemaitelly,Test-negative case-control,13Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,1-6 weeks,"severe, critical, or fatal disease",severe,Qatar,18+ years,general pop,90.9,78.6,96.1,omicron,omicron,~19 weeks
37,Chemaitelly,Test-negative case-control,13Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,≥7 weeks,"severe, critical, or fatal disease",severe,Qatar,18+ years,general pop,90.9,78.6,96.1,omicron,omicron,~19 weeks
39,Hayek,Retrospective cohort,27Jan2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of primary mRNA series ≥5 months prior,7+,infection,infection,Israel,households with children,households with children,86.3,83.4,88.6,,delta,~11 weeks
43,Patalon,Test-negative case-control,09Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥5 months prior,1-51,infection,infection,Israel,18+ years,general pop,53.4,47.7,58.6,,omicron,~21 weeks
43,Patalon,Test-negative case-control,09Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥5 months prior,93-142,infection,infection,Israel,18+ years,general pop,3.6,0.6,6.5,,omicron,~21 weeks
44,Šmíd,Retrospective cohort,25Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14-74,infection,infection,Czech Republic,18+ years,general pop,58.0,58.0,59.0,,omicron,~24 weeks
44,Šmíd,Retrospective cohort,25Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,75+,infection,infection,Czech Republic,18+ years,general pop,24.0,22.0,26.0,,omicron,~24 weeks
44,Šmíd,Retrospective cohort,25Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14-74,hospitalization,severe,Czech Republic,18+ years,general pop,86.0,84.0,89.0,,omicron,~24 weeks
44,Šmíd,Retrospective cohort,25Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,75+,hospitalization,severe,Czech Republic,18+ years,general pop,79.0,74.0,82.0,,omicron,~24 weeks
44,Šmíd,Retrospective cohort,25Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14-74,infection,infection,Czech Republic,18+ years,general pop,90.0,90.0,91.0,,delta,~24 weeks
44,Šmíd,Retrospective cohort,25Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,75+,infection,infection,Czech Republic,18+ years,general pop,80.0,78.0,83.0,,delta,~24 weeks
44,Šmíd,Retrospective cohort,25Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14-74,hospitalization,severe,Czech Republic,18+ years,general pop,98.0,97.0,98.0,,delta,~24 weeks
44,Šmíd,Retrospective cohort,25Feb2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,75+,hospitalization,severe,Czech Republic,18+ years,general pop,96.0,94.0,97.0,,delta,~24 weeks
45,Klein,Test-negative case-control,01Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,7+,ED or UC visit,symptomatic,USA,16-17 years,16-17 years,81.0,59.0,91.0,,omicron,~4 weeks
45,Klein,Test-negative case-control,01Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,7+,ED or UC visit,symptomatic,USA,16-17 years,16-17 years,86.0,73.0,93.0,,omicron or delta,~4 weeks
46,Norddahl,Retrospective cohort,01Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination 6 or more months prior,0+,infection,infection,Iceland,18-80 years,general pop,47.0,36.0,56.0,omicron,omicron,~4 weeks
46,Norddahl,Retrospective cohort,01Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination 6 or more months prior,0+,infection,infection,Iceland,18-80 years,general pop,52.0,28.0,69.0,delta,delta,~4 weeks
47,Butt,Retrospective cohort,04Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination 4.5 months prior,14+,symptomatic disease,symptomatic,USA,veterans,veterans,84.0,78.0,88.0,,delta,7 weeks
47,Butt,Retrospective cohort,04Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination 4.5 months prior,14+,hospitalization,severe,USA,veterans,veterans,77.0,65.0,85.0,,delta,7 weeks
49,Baum,Retrospective cohort,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-60,hospitalization,severe,Finland,70+ years,≥ 70 years,95.0,94.0,96.0,,"non-VOC, alpha, delta, & omicron",~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,61+,hospitalization,severe,Finland,70+ years,≥ 70 years,89.0,87.0,91.0,,"non-VOC, alpha, delta, & omicron",~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-60,ICU admission,severe,Finland,70+ years,≥ 70 years,98.0,95.0,99.0,,"non-VOC, alpha, delta, & omicron",~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,61+,ICU admission,severe,Finland,70+ years,≥ 70 years,95.0,92.0,97.0,,"non-VOC, alpha, delta, & omicron",~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-60,hospitalization,severe,Finland,70+ years,≥ 70 years,96.0,93.0,97.0,,delta,~13 weeks
49,Baum,Retrospective cohort,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,61+,hospitalization,severe,Finland,70+ years,≥ 70 years,94.0,75.0,99.0,,delta,~13 weeks
49,Baum,Retrospective cohort,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-60,hospitalization,severe,Finland,70+ years,≥ 70 years,94.0,92.0,95.0,,omicron,~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,61+,hospitalization,severe,Finland,70+ years,≥ 70 years,87.0,85.0,89.0,,omicron,~20.5 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,unvaccinated individuals,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,74.4,63.4,82.2,omicron BA.1,omicron BA.1,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,unvaccinated individuals,7+,hospitalization or death,severe,Qatar,18+ years,general pop,100.0,30.6,100.0,omicron BA.1,omicron BA.1,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,59.6,52.9,65.3,omicron BA.1,omicron BA.1,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,hospitalization or death,severe,Qatar,18+ years,general pop,97.5,71.7,99.8,omicron BA.1,omicron BA.1,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,unvaccinated individuals,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,77.3,72.4,81.4,omicron BA.2,omicron BA.2,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,unvaccinated individuals,7+,hospitalization or death,severe,Qatar,18+ years,general pop,100.0,82.6,100.0,omicron BA.2,omicron BA.2,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,52.2,48.1,55.9,omicron BA.2,omicron BA.2,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,hospitalization or death,severe,Qatar,18+ years,general pop,98.2,91.9,99.6,omicron BA.2,omicron BA.2,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,unvaccinated individuals,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,76.3,71.7,80.1,omicron,omicron,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,unvaccinated individuals,7+,hospitalization or death,severe,Qatar,18+ years,general pop,100.0,91.8,100.0,omicron,omicron,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,symptomatic disease,symptomatic,Qatar,18+ years,general pop,54.0,50.4,57.3,omicron,omicron,~19 weeks
51,Altarawneh,Test-negative case-control,15Jun2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,hospitalization or death,severe,Qatar,18+ years,general pop,92.5,84.4,96.3,omicron,omicron,~19 weeks
53,Stowe,Test-negative case-control,24Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,7-13,hospitalization,severe,UK,18-64 years,18-64 years,79.0,68.0,83.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,105+,hospitalization,severe,UK,18-64 years,18-64 years,70.0,59.0,78.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14-28,ICU admission,severe,UK,18-64 years,18-64 years,99.0,90.0,100.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,70-98,ICU admission,severe,UK,18-64 years,18-64 years,89.0,74.0,96.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,7-13,hospitalization,severe,UK,65+ years,≥ 65 years,90.0,59.0,98.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,105+,hospitalization,severe,UK,65+ years,≥ 65 years,83.0,82.0,84.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,7-13,ICU admission,severe,UK,65+ years,≥ 65 years,94.0,10.0,99.0,,omicron,~22 weeks
53,Stowe,Test-negative case-control,24Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,105+,ICU admission,severe,UK,65+ years,≥ 65 years,82.0,70.0,90.0,,omicron,~22 weeks
58,Hansen,Retrospective cohort,30Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-30,infection,infection,Denmark,12+ years,general pop,47.9,47.4,48.2,,omicron,~2 weeks
58,Hansen,Retrospective cohort,30Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,121+,infection,infection,Denmark,12+ years,general pop,40.5,38.9,42.2,,omicron,~20 weeks
58,Hansen,Retrospective cohort,30Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-30,hospitalization,severe,Denmark,12+ years,general pop,88.8,87.3,90.1,,omicron,~2 weeks
58,Hansen,Retrospective cohort,30Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,121+,hospitalization,severe,Denmark,12+ years,general pop,66.2,61.1,70.7,,omicron,~20 weeks
61,Starrfelt,Retrospective cohort,30Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,infection,infection,Norway,18+ years,general pop,75.3,72.5,77.8,,delta,~6.5 weeks
61,Starrfelt,Retrospective cohort,30Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,hospitalization,severe,Norway,18+ years,general pop,95.6,93.1,97.2,,delta,~6.5 weeks
59,Starrfelt,Retrospective cohort,30Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,infection,infection,Norway,18+ years,general pop,75.3,72.5,77.8,,delta,~6.5 weeks
59,Starrfelt,Retrospective cohort,30Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,7+,hospitalization,severe,Norway,18+ years,general pop,95.6,93.1,97.2,,delta,~6.5 weeks
60,Glatman-Freedman,Retrospective cohort,31Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,15-21,infection,infection,Israel,16-59 years,16-59 years,96.8,96.0,97.5,,delta & omicron,14 weeks
60,Glatman-Freedman,Retrospective cohort,31Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,106-112,infection,infection,Israel,16-59 years,16-59 years,77.6,68.4,84.2,,delta & omicron,14 weeks
60,Glatman-Freedman,Retrospective cohort,31Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,15-21,infection,infection,Israel,60+ years,≥ 60 years,93.1,91.8,94.2,,delta & omicron,18 weeks
60,Glatman-Freedman,Retrospective cohort,31Mar2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,134-140,infection,infection,Israel,60+ years,≥ 60 years,61.3,52.5,68.4,,delta & omicron,18 weeks
64,Buchan,Test-negative case-control,07Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,7+,symptomatic disease,symptomatic,Canada,12-17 years,12-17 years,62.0,49.0,72.0,omicron,omicron,~3 weeks
67,Institute of Public Health,Test-negative case-control,12Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,hospitalization,severe,Chile,18+ years,general pop,88.3,79.5,93.3,,gamma & delta,~24 weeks
69,Cerqueira-Silva ,Test-negative case-control,01Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,"unvaccinated individuals, previously infected",14-69,symptomatic disease,symptomatic,Brazil,18+ years,general pop,56.4,53.7,59.0,,omicron,~28 weeks
69,Cerqueira-Silva ,Test-negative case-control,01Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,"unvaccinated individuals, previously infected",70+,symptomatic disease,symptomatic,Brazil,18+ years,general pop,43.3,25.8,56.6,,omicron,~28 weeks
69,Cerqueira-Silva ,Test-negative case-control,01Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,"unvaccinated individuals, previously infected",14-69,hospitalization or death,severe,Brazil,18+ years,general pop,75.0,53.3,86.7,,omicron,~28 weeks
69,Cerqueira-Silva ,Matched case-control,01Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,"unvaccinated individuals, previously infected",14-69,symptomatic disease,symptomatic,Brazil,18+ years,general pop,58.1,55.3,60.6,,omicron,~28 weeks
69,Cerqueira-Silva ,Matched case-control,01Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,"unvaccinated individuals, previously infected",70+,symptomatic disease,symptomatic,Brazil,18+ years,general pop,29.8,3.3,49.0,,omicron,~28 weeks
69,Cerqueira-Silva ,Matched case-control,01Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),previously infected only,"unvaccinated individuals, previously infected",14-69,hospitalization or death,severe,Brazil,18+ years,general pop,85.2,55.7,95.1,,omicron,~28 weeks
72,Vokó,Retrospective cohort,22Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14-120,infection,infection,Hungary,18-64 years,18-64 years,82.2,81.5,82.8,,delta,~20 weeks
72,Vokó,Retrospective cohort,22Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14-120,hospitalization,severe,Hungary,18-64 years,18-64 years,94.3,93.3,95.1,,delta,~20 weeks
72,Vokó,Retrospective cohort,22Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,14-120,death,death,Hungary,18-64 years,18-64 years,96.8,95.2,97.9,,delta,~20 weeks
73,Grewal,Test-negative case-control,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,0+,infection,infection,Canada,LTCF residents aged 60+ years,LTCF residents,32.0,24.0,38.0,omicron,omicron,~34 weeks
73,Grewal,Test-negative case-control,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,0+,symptomatic disease,symptomatic,Canada,LTCF residents aged 60+ years,LTCF residents,53.0,39.0,63.0,omicron,omicron,~34 weeks
73,Grewal,Test-negative case-control,06Jul2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,0+,hospitalization or death,severe,Canada,LTCF residents aged 60+ years,LTCF residents,77.0,67.0,83.0,omicron,omicron,~34 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,Brazil,18+ years,general pop,35.2,33.7,36.7,,omicron,2 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,9-12 weeks,symptomatic disease,symptomatic,Brazil,18+ years,general pop,36.3,29.9,42.2,,omicron,10 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,severe disease,severe,Brazil,18+ years,general pop,88.3,85.1,90.7,,omicron,2 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,9-12 weeks,severe disease,severe,Brazil,18+ years,general pop,82.5,64.0,91.5,,omicron,10 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,Scotland,18+ years,general pop,52.9,49.3,56.3,,omicron,2 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,13+ weeks,symptomatic disease,symptomatic,Scotland,18+ years,general pop,30.1,23.5,36.1,,omicron,~22 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,severe disease,severe,Scotland,18+ years,general pop,81.6,29.9,95.2,,omicron,2 weeks
77,Cerqueira-Silva ,Test-negative case-control,14Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),included,unvaccinated individuals,13+ weeks,severe disease,severe,Scotland,18+ years,general pop,75.7,33.9,91.0,,omicron,~22 weeks
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,14+,infection,infection,USA,veterans,veterans,30.1,26.2,33.7,,omicron,~27 weeks
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,14+,hospitalization,severe,USA,veterans,veterans,61.4,55.0,67.1,,omicron,~27 weeks
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,complete vaccination with 2 doses ≥5 months prior,14+,death,death,USA,veterans,veterans,78.8,67.9,87.5,,omicron,~27 weeks
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14+,infection,infection,USA,veterans,veterans,47.8,45.2,50.3,,omicron,~27 weeks
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14+,hospitalization,severe,USA,veterans,veterans,81.8,79.2,84.2,,omicron,~27 weeks
79,Sharma,Matched case-control,27Apr2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14+,death,death,USA,veterans,veterans,89.6,85.0,93.6,,omicron,~27 weeks
81,Suah,Test-negative case-control,02May2022,BNT162b2 (Pfizer),BNT162b2 (Pfizer),unknown,complete vaccination with 2 doses of BNT162b2 (Pfizer) 4-6 months prior,14+,infection,infection,Malaysia,18+ years,general pop,52.0,50.3,51.9,,omicron,~12 weeks
